"bin"	"sankey1"	"sankey2"	"sankey3"	"sankey4"
"MFD01476.bin.1.83"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01476.bin.1.95"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01476.bin.1.98"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01476.bin.2.37"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01561.bin.1.13"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01561.bin.1.20"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Known species"
"MFD01561.bin.1.3"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01561.bin.1.40"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01561.bin.1.6"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01561.bin.1.78"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01561.bin.1.86"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01561.bin.2.89"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01561.bin.3.249"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Known species"
"MFD01633.bin.1.10"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.100"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.107"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.112"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.114"	"More than 50
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.115"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.116"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.119"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.124"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.126"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.128"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.131"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.154"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.16"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.161"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.170"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.176"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.196"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.201"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.206"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.207"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.209"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.210"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.212"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.213"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.216"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.217"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.223"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.224"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.225"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.226"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.230"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01633.bin.1.238"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.240"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.241"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.28"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.30"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.32"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.33"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01633.bin.1.40"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.46"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01633.bin.1.48"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.5"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01633.bin.1.94"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01689.bin.1.1"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.101"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.102"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01689.bin.1.104"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01689.bin.1.106"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.110"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.114"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.12"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.120"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.19"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.21"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01689.bin.1.23"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01689.bin.1.25"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01689.bin.1.32"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.35"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01689.bin.1.40"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.47"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01689.bin.1.48"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Known species"
"MFD01689.bin.1.5"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.50"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.51"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.60"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.61"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.7"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.1.72"	"Single-contig"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01689.bin.1.76"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01689.bin.1.89"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01689.bin.2.84"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.10"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.112"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.115"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.117"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01716.bin.1.118"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.121"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.125"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.126"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.127"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.129"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.130"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.133"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.135"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.137"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.139"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.142"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.144"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.15"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.158"	"More than 50
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.159"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.16"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.166"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.168"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.17"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.171"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.173"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.177"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.178"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.181"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.185"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.186"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.190"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.191"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.194"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.195"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.196"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.197"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.198"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.202"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.208"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.21"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.225"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.226"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.229"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.23"	"Single-contig"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.232"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.24"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01716.bin.1.25"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.31"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.34"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.35"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.38"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.39"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.48"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.49"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.5"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.50"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.51"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.59"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.60"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.7"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.8"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.86"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.1.9"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.1.99"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.2.142"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.2.41"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01716.bin.3.239"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.3.307"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.3.4"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01716.bin.3.85"	"More than 50
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.10"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.101"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.102"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.104"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.106"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.108"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.11"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.113"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.114"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
family"
"MFD01721.bin.1.117"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.118"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.119"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.120"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.121"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.123"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.124"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.126"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.127"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.128"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.129"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.13"	"Single-contig"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.130"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.134"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.137"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.139"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.141"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.156"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.158"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.168"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.169"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.17"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.18"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.192"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.199"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.2"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.20"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.203"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.21"	"10 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.211"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.213"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.215"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.219"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.220"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.223"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.226"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.227"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.228"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.229"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.23"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.231"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.232"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.239"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.240"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.242"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.244"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.245"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.246"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.247"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.248"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.249"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.25"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.252"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.253"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.254"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.258"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.259"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.26"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.262"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.268"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
family"
"MFD01721.bin.1.271"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.273"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.274"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.277"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.283"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.284"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.29"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.290"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.295"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
family"
"MFD01721.bin.1.305"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.308"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.309"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.310"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.313"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.315"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
family"
"MFD01721.bin.1.317"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.322"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.324"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.326"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.328"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.331"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.332"	"50 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.333"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.336"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.338"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.343"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.346"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.348"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.355"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.359"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.363"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.365"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.366"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.367"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.368"	"50 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.37"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.374"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.375"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.379"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.38"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.380"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.384"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.4"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
genus"
"MFD01721.bin.1.42"	"25 or less
contigs"	"HQ"	NA	NA
"MFD01721.bin.1.43"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.46"	"25 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.47"	"10 or less
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
"MFD01721.bin.1.50"	"More than 50
contigs"	"HQ"	"Dereplicated
HQ"	"Unassigned
species"
